target,mean,std
a0,0.6740272442499796,0.1233051660579049
avg_clustering,0.863630215326945,0.004654503958689808
degree_assortativity,0.8458675742149353,0.0041865441799311745
delta,0.8238527576128641,0.004262589031015371
fragmentation_index,0.19567102193832395,0.10827421955727787
global_efficiency,0.9859710534413656,0.0006764596898698056
nu,0.872228225072225,0.01358215781163911
ree,0.7320889631907145,0.060951246156447446
rg,0.7948384881019592,0.030470069224892156
transitivity,0.8387312690416971,0.014831482792965195
