target,test_r2,ood_r2
rg,0.827958345413208,0.7788349986076355
ree,0.8571799397468567,0.8024673461914062
nu,0.825307309627533,0.8574678301811218
delta,0.7449909448623657,0.8190117478370667
a0,0.528633713722229,0.7842006683349609
global_efficiency,0.9909490346908569,0.9859920740127563
fragmentation_index,0.04874342679977417,0.28025299310684204
avg_clustering,0.8845427632331848,0.8589228987693787
transitivity,0.8739805221557617,0.8246971368789673
degree_assortativity,0.8728674650192261,0.8484265208244324
