model,seed,temperature_K,n,target,r2
KESTREL,42,278,1025,rg,0.9374035000801086
KESTREL,42,278,1025,ree,0.911294162273407
KESTREL,42,278,1025,nu,0.8799749612808228
KESTREL,42,278,1025,delta,0.8566282391548157
KESTREL,42,278,1025,a0,0.804206132888794
KESTREL,42,278,1025,global_efficiency,0.9780441522598267
KESTREL,42,278,1025,fragmentation_index,0.46338748931884766
KESTREL,42,278,1025,avg_clustering,0.8664088845252991
KESTREL,42,278,1025,transitivity,0.8433032035827637
KESTREL,42,278,1025,degree_assortativity,0.851958692073822
KESTREL,42,288,1025,rg,0.9388543963432312
KESTREL,42,288,1025,ree,0.9196869730949402
KESTREL,42,288,1025,nu,0.8971858024597168
KESTREL,42,288,1025,delta,0.8634841442108154
KESTREL,42,288,1025,a0,0.8086814284324646
KESTREL,42,288,1025,global_efficiency,0.9772263765335083
KESTREL,42,288,1025,fragmentation_index,0.371044397354126
KESTREL,42,288,1025,avg_clustering,0.8643604516983032
KESTREL,42,288,1025,transitivity,0.8486523628234863
KESTREL,42,288,1025,degree_assortativity,0.8519577980041504
KESTREL,42,300,1025,rg,0.3677796721458435
KESTREL,42,300,1025,ree,0.35819119215011597
KESTREL,42,300,1025,nu,0.5792398452758789
KESTREL,42,300,1025,delta,0.5342310667037964
KESTREL,42,300,1025,a0,0.5491995811462402
KESTREL,42,300,1025,global_efficiency,0.41403841972351074
KESTREL,42,300,1025,fragmentation_index,0.36987411975860596
KESTREL,42,300,1025,avg_clustering,0.489254891872406
KESTREL,42,300,1025,transitivity,0.5003845691680908
KESTREL,42,300,1025,degree_assortativity,0.3972069025039673
KESTREL,42,310,1025,rg,0.9379714727401733
KESTREL,42,310,1025,ree,0.9217678904533386
KESTREL,42,310,1025,nu,0.8855673670768738
KESTREL,42,310,1025,delta,0.8499455451965332
KESTREL,42,310,1025,a0,0.7863534688949585
KESTREL,42,310,1025,global_efficiency,0.9762299060821533
KESTREL,42,310,1025,fragmentation_index,0.44411420822143555
KESTREL,42,310,1025,avg_clustering,0.8372940421104431
KESTREL,42,310,1025,transitivity,0.825980544090271
KESTREL,42,310,1025,degree_assortativity,0.8534124493598938
KESTREL,42,320,1025,rg,0.813202440738678
KESTREL,42,320,1025,ree,0.8100910782814026
KESTREL,42,320,1025,nu,0.8645905256271362
KESTREL,42,320,1025,delta,0.8386448621749878
KESTREL,42,320,1025,a0,0.7637611627578735
KESTREL,42,320,1025,global_efficiency,0.9035097360610962
KESTREL,42,320,1025,fragmentation_index,0.4012189507484436
KESTREL,42,320,1025,avg_clustering,0.8071249723434448
KESTREL,42,320,1025,transitivity,0.7901601791381836
KESTREL,42,320,1025,degree_assortativity,0.8029395341873169
KESTREL,67,278,1025,rg,0.9484215974807739
KESTREL,67,278,1025,ree,0.9213323593139648
KESTREL,67,278,1025,nu,0.88408362865448
KESTREL,67,278,1025,delta,0.8656927347183228
KESTREL,67,278,1025,a0,0.8050567507743835
KESTREL,67,278,1025,global_efficiency,0.9800543785095215
KESTREL,67,278,1025,fragmentation_index,0.43885910511016846
KESTREL,67,278,1025,avg_clustering,0.8570609092712402
KESTREL,67,278,1025,transitivity,0.8377532958984375
KESTREL,67,278,1025,degree_assortativity,0.8494714498519897
KESTREL,67,288,1025,rg,0.9493786096572876
KESTREL,67,288,1025,ree,0.928629994392395
KESTREL,67,288,1025,nu,0.8929873108863831
KESTREL,67,288,1025,delta,0.8660325407981873
KESTREL,67,288,1025,a0,0.7987037301063538
KESTREL,67,288,1025,global_efficiency,0.9797778725624084
KESTREL,67,288,1025,fragmentation_index,0.2755861282348633
KESTREL,67,288,1025,avg_clustering,0.862328290939331
KESTREL,67,288,1025,transitivity,0.8474706411361694
KESTREL,67,288,1025,degree_assortativity,0.8494968414306641
KESTREL,67,300,1025,rg,0.3626735806465149
KESTREL,67,300,1025,ree,0.3490835428237915
KESTREL,67,300,1025,nu,0.5581966042518616
KESTREL,67,300,1025,delta,0.51777184009552
KESTREL,67,300,1025,a0,0.534275233745575
KESTREL,67,300,1025,global_efficiency,0.43169599771499634
KESTREL,67,300,1025,fragmentation_index,0.30548202991485596
KESTREL,67,300,1025,avg_clustering,0.48325449228286743
KESTREL,67,300,1025,transitivity,0.49022233486175537
KESTREL,67,300,1025,degree_assortativity,0.389728844165802
KESTREL,67,310,1025,rg,0.9418830275535583
KESTREL,67,310,1025,ree,0.9216260313987732
KESTREL,67,310,1025,nu,0.8754526376724243
KESTREL,67,310,1025,delta,0.8418647050857544
KESTREL,67,310,1025,a0,0.7834780812263489
KESTREL,67,310,1025,global_efficiency,0.9788302779197693
KESTREL,67,310,1025,fragmentation_index,0.4385337829589844
KESTREL,67,310,1025,avg_clustering,0.8443087339401245
KESTREL,67,310,1025,transitivity,0.8341863751411438
KESTREL,67,310,1025,degree_assortativity,0.8526760339736938
KESTREL,67,320,1025,rg,0.7969258427619934
KESTREL,67,320,1025,ree,0.7901204824447632
KESTREL,67,320,1025,nu,0.8505252003669739
KESTREL,67,320,1025,delta,0.8263270258903503
KESTREL,67,320,1025,a0,0.7545117139816284
KESTREL,67,320,1025,global_efficiency,0.9064995050430298
