model,temperature_K,target,mean,std
IDP-ESM2-8M,278,a0,0.5061809619267782,0.05654125100704967
IDP-ESM2-8M,278,delta,0.7583135565121969,0.016210505686652575
IDP-ESM2-8M,278,nu,0.7285073002179464,0.035525709130433986
IDP-ESM2-8M,278,ree,0.868715246518453,0.005552400331612179
IDP-ESM2-8M,278,rg,0.8922796845436096,0.003991620272645472
IDP-ESM2-8M,288,a0,0.5098169247309366,0.056743090313078684
IDP-ESM2-8M,288,delta,0.7635891238848368,0.015454579165310503
IDP-ESM2-8M,288,nu,0.7470341523488363,0.03346582847670085
IDP-ESM2-8M,288,ree,0.876024067401886,0.007357253057387129
IDP-ESM2-8M,288,rg,0.8946480552355448,0.005311352586858915
IDP-ESM2-8M,300,a0,0.36602280537287396,0.04958933117859334
IDP-ESM2-8M,300,delta,0.48498473564783734,0.014627918117267684
IDP-ESM2-8M,300,nu,0.4965678056081136,0.033121856090939227
IDP-ESM2-8M,300,ree,0.40945500135421753,0.008074881642669889
IDP-ESM2-8M,300,rg,0.4177727699279785,0.006740808204705534
IDP-ESM2-8M,310,a0,0.5137804547945658,0.05356884304657264
IDP-ESM2-8M,310,delta,0.7539530197779337,0.009639761372730768
IDP-ESM2-8M,310,nu,0.745706299940745,0.023372317845455973
IDP-ESM2-8M,310,ree,0.8768716851870219,0.005549598160798162
IDP-ESM2-8M,310,rg,0.8905728260676066,0.005498509536342665
IDP-ESM2-8M,320,a0,0.48763543367385864,0.047893124406327876
IDP-ESM2-8M,320,delta,0.7387122313181559,0.010167829092836325
IDP-ESM2-8M,320,nu,0.7198512355486552,0.01947418269256448
IDP-ESM2-8M,320,ree,0.7862964669863383,0.0038525051437170283
IDP-ESM2-8M,320,rg,0.7976787885030111,0.004158935686202539
KESTREL,278,a0,0.7674044569333395,0.06448043192737057
KESTREL,278,avg_clustering,0.8626813689867655,0.004953139265206408
KESTREL,278,degree_assortativity,0.8450769186019897,0.009844433940162782
KESTREL,278,delta,0.8501868844032288,0.019539732025655263
KESTREL,278,fragmentation_index,0.44269680976867676,0.019063774022905412
KESTREL,278,global_efficiency,0.9791166385014852,0.0010118645187706993
KESTREL,278,nu,0.8661057750384012,0.027656748682889528
KESTREL,278,ree,0.9177320996920267,0.00558843998040612
KESTREL,278,rg,0.9427704413731893,0.0055145445077743665
KESTREL,278,transitivity,0.8421372175216675,0.003932772659037088
KESTREL,288,a0,0.7708797454833984,0.05705203588985079
KESTREL,288,avg_clustering,0.8643158872922262,0.001965693057764396
KESTREL,288,degree_assortativity,0.8446066975593567,0.010672400087094
KESTREL,288,delta,0.8565295338630676,0.01430955821343324
KESTREL,288,fragmentation_index,0.3455573320388794,0.06133676889621278
KESTREL,288,global_efficiency,0.9785406589508057,0.0012774927385240575
KESTREL,288,nu,0.8837999304135641,0.019661399488255866
KESTREL,288,ree,0.9253470102945963,0.0049226205996877855
KESTREL,288,rg,0.9434253772099813,0.005396548067413388
KESTREL,288,transitivity,0.8495323856671652,0.002615265378808253
KESTREL,300,a0,0.5231454571088155,0.033055497097224724
KESTREL,300,avg_clustering,0.4911616841952006,0.009013152263999305
KESTREL,300,degree_assortativity,0.3901771903038025,0.006816606454857645
KESTREL,300,delta,0.523582657178243,0.009234622927756482
KESTREL,300,fragmentation_index,0.34425389766693115,0.034151275910190224
KESTREL,300,global_efficiency,0.42846057812372845,0.013107435256986641
KESTREL,300,nu,0.5645845532417297,0.01272659494749431
KESTREL,300,ree,0.35858861605326336,0.009709887031215832
KESTREL,300,rg,0.36954402923583984,0.007901768437483369
KESTREL,300,transitivity,0.4955734610557556,0.005102594062886952
KESTREL,310,a0,0.757798433303833,0.04699061220531
KESTREL,310,avg_clustering,0.8393218715985616,0.004343775079026581
KESTREL,310,degree_assortativity,0.8478496074676514,0.00900490145942526
KESTREL,310,delta,0.842553436756134,0.007072937106649615
KESTREL,310,fragmentation_index,0.43918583790461224,0.004636856844123278
KESTREL,310,global_efficiency,0.9766578276952108,0.001993243206617287
KESTREL,310,nu,0.87446129322052,0.01163346831452433
KESTREL,310,ree,0.9220682382583618,0.0006469710737684682
KESTREL,310,rg,0.9382659395535787,0.0034792131188866914
KESTREL,310,transitivity,0.8313322265942892,0.004638121679004933
KESTREL,320,a0,0.7299793163935343,0.05071293090991704
KESTREL,320,avg_clustering,0.8118188381195068,0.004265711463311926
KESTREL,320,degree_assortativity,0.7997684876124064,0.005816964881075342
KESTREL,320,delta,0.8297110199928284,0.007812354508369433
KESTREL,320,fragmentation_index,0.4165492256482442,0.015344221481173141
KESTREL,320,global_efficiency,0.9048759341239929,0.0015114100144042178
KESTREL,320,nu,0.8534079988797506,0.010055966400342361
KESTREL,320,ree,0.805648148059845,0.01385134266329208
KESTREL,320,rg,0.8084261417388916,0.010007049624779666
KESTREL,320,transitivity,0.7974044680595398,0.006901067483636798
