rg,ree,nu,delta,a0,model,seed,temperature_K,n
0.8915161490440369,0.8678140640258789,0.7234063148498535,0.7554960250854492,0.4829026460647583,IDP-ESM2-8M,42,278,1025
0.8920066952705383,0.8714561462402344,0.7390661239624023,0.7606170177459717,0.48354947566986084,IDP-ESM2-8M,42,288,1025
0.425534725189209,0.41841185092926025,0.4813457727432251,0.47734534740448,0.3448927402496338,IDP-ESM2-8M,42,300,1025
0.8869065642356873,0.8725123405456543,0.7384099364280701,0.7567959427833557,0.48665744066238403,IDP-ESM2-8M,42,310,1025
0.7950913906097412,0.7831062078475952,0.7140297293663025,0.7427064180374146,0.46306341886520386,IDP-ESM2-8M,42,320,1025
0.8965979218482971,0.8746631145477295,0.7663077712059021,0.7757481336593628,0.5706453323364258,IDP-ESM2-8M,67,278,1025
0.9007622599601746,0.8845112323760986,0.7837648391723633,0.7803139090538025,0.5749342441558838,IDP-ESM2-8M,67,288,1025
0.4143943190574646,0.40722042322158813,0.5345642566680908,0.5018507242202759,0.42267733812332153,IDP-ESM2-8M,67,300,1025
0.8968951106071472,0.8831189274787903,0.771856427192688,0.7618516087532043,0.5754863023757935,IDP-ESM2-8M,67,310,1025
0.802476167678833,0.7905764579772949,0.7415722608566284,0.7462764978408813,0.542827308177948,IDP-ESM2-8M,67,320,1025
0.8887249827384949,0.8636685609817505,0.6958078145980835,0.7436965107917786,0.4649949073791504,IDP-ESM2-8M,93,278,1025
0.8911752104759216,0.872104823589325,0.7182714939117432,0.7498364448547363,0.47096705436706543,IDP-ESM2-8M,93,288,1025
0.41338926553726196,0.4027327299118042,0.4737933874130249,0.4757581353187561,0.3304983377456665,IDP-ESM2-8M,93,300,1025
0.8879168033599854,0.8749837875366211,0.726852536201477,0.7432115077972412,0.47919762134552,IDP-ESM2-8M,93,310,1025
0.795468807220459,0.7852067351341248,0.7039517164230347,0.7271537780761719,0.4570155739784241,IDP-ESM2-8M,93,320,1025
