n_train,seed,target,r2_ood
500.0,42.0,nu,0.1924802526789074
500.0,42.0,rg,0.8138782175912012
500.0,42.0,A0,
500.0,67.0,nu,0.0968648533721878
500.0,67.0,rg,0.7691535810257624
500.0,67.0,A0,
500.0,93.0,nu,0.2065619022558213
500.0,93.0,rg,0.8091283837729483
500.0,93.0,A0,
1000.0,42.0,nu,0.4928122371680034
1000.0,42.0,rg,0.8171792958370598
1000.0,42.0,A0,
1000.0,67.0,nu,-0.2343337599542856
1000.0,67.0,rg,0.8335144169032138
1000.0,67.0,A0,
1000.0,93.0,nu,0.1491621151066553
1000.0,93.0,rg,0.7881974073639314
1000.0,93.0,A0,
2000.0,42.0,nu,0.5762668645069827
2000.0,42.0,rg,0.8776883056281808
2000.0,42.0,A0,
2000.0,67.0,nu,0.3910924070683664
2000.0,67.0,rg,0.8861064370898706
2000.0,67.0,A0,
2000.0,93.0,nu,0.6521196146137951
2000.0,93.0,rg,0.8944853522863755
2000.0,93.0,A0,
5000.0,42.0,nu,0.8368457520737504
5000.0,42.0,rg,0.930662683567133
5000.0,42.0,A0,
5000.0,67.0,nu,0.8678185306783412
5000.0,67.0,rg,0.9370207937396006
5000.0,67.0,A0,
5000.0,93.0,nu,0.8663754460424817
5000.0,93.0,rg,0.910680939285696
5000.0,93.0,A0,
