n_train,seed,nu_r2,rg_r2,A0_r2
500,42,0.1924802526789074,0.8138782175912012,
500,67,0.0968648533721878,0.7691535810257624,
500,93,0.2065619022558213,0.8091283837729483,
1000,42,0.4928122371680034,0.8171792958370598,
1000,67,-0.2343337599542856,0.8335144169032138,
1000,93,0.1491621151066553,0.7881974073639314,
2000,42,0.5762668645069827,0.8776883056281808,
2000,67,0.3910924070683664,0.8861064370898706,
2000,93,0.6521196146137951,0.8944853522863755,
5000,42,0.8368457520737504,0.930662683567133,
5000,67,0.8678185306783412,0.9370207937396006,
5000,93,0.8663754460424817,0.910680939285696,
